cohort,age_band,bin,rank,feature,drug_name,combined_importance,source
falls,65-74,all,1,item_drug_FUROSEMIDE,FUROSEMIDE,0.176921088166812,SHAP_FFA_CONSENSUS_FILTER
falls,65-74,all,2,item_drug_OMEPRAZOLE,OMEPRAZOLE,0.1511059036724252,SHAP_FFA_CONSENSUS_FILTER
falls,65-74,all,3,item_drug_SIMVASTATIN,SIMVASTATIN,0.139618148733837,SHAP_FFA_CONSENSUS_FILTER
falls,65-74,all,4,item_drug_LISINOPRIL,LISINOPRIL,0.1008555511917826,SHAP_FFA_CONSENSUS_FILTER
falls,65-74,all,5,item_drug_GABAPENTIN,GABAPENTIN,0.0959239924297552,SHAP_FFA_CONSENSUS_FILTER
falls,65-74,all,6,item_drug_PREDNISONE,PREDNISONE,0.0842725760129441,SHAP_FFA_CONSENSUS_FILTER
falls,65-74,all,7,item_drug_CARVEDILOL,CARVEDILOL,0.0823636922613156,SHAP_FFA_CONSENSUS_FILTER
