cohort,age_band,bin,rank,feature,drug_name,gene,combined_importance,edge_weight,source
ed,75-84,all,3,item_drug_HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,NEDD4L,0.1094721622284044,0.1094721622284044,SHAP_FFA_CONSENSUS_FILTER
ed,75-84,all,3,item_drug_HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,PRKCA,0.1094721622284044,0.1094721622284044,SHAP_FFA_CONSENSUS_FILTER
ed,75-84,all,3,item_drug_HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,YEATS4,0.1094721622284044,0.1094721622284044,SHAP_FFA_CONSENSUS_FILTER
ed,75-84,all,5,item_drug_CARVEDILOL,CARVEDILOL,ADRA2C,0.07040110649759,0.07040110649759,SHAP_FFA_CONSENSUS_FILTER
ed,75-84,all,5,item_drug_CARVEDILOL,CARVEDILOL,ADRB1,0.07040110649759,0.07040110649759,SHAP_FFA_CONSENSUS_FILTER
ed,75-84,all,5,item_drug_CARVEDILOL,CARVEDILOL,ADRB2,0.07040110649759,0.07040110649759,SHAP_FFA_CONSENSUS_FILTER
ed,75-84,all,5,item_drug_CARVEDILOL,CARVEDILOL,CYP2D6,0.07040110649759,0.07040110649759,SHAP_FFA_CONSENSUS_FILTER
ed,75-84,all,5,item_drug_CARVEDILOL,CARVEDILOL,GRK4,0.07040110649759,0.07040110649759,SHAP_FFA_CONSENSUS_FILTER
ed,75-84,all,5,item_drug_CARVEDILOL,CARVEDILOL,GRK5,0.07040110649759,0.07040110649759,SHAP_FFA_CONSENSUS_FILTER
ed,75-84,all,7,item_drug_SIMVASTATIN,SIMVASTATIN,SLCO1B1,0.0628544048775277,0.0628544048775277,SHAP_FFA_CONSENSUS_FILTER
ed,75-84,all,7,item_drug_SIMVASTATIN,SIMVASTATIN,ABCB1,0.0628544048775277,0.0628544048775277,SHAP_FFA_CONSENSUS_FILTER
ed,75-84,all,7,item_drug_SIMVASTATIN,SIMVASTATIN,CYP3A4,0.0628544048775277,0.0628544048775277,SHAP_FFA_CONSENSUS_FILTER
ed,75-84,all,7,item_drug_SIMVASTATIN,SIMVASTATIN,CYP3A5,0.0628544048775277,0.0628544048775277,SHAP_FFA_CONSENSUS_FILTER
ed,75-84,all,7,item_drug_SIMVASTATIN,SIMVASTATIN,CETP,0.0628544048775277,0.0628544048775277,SHAP_FFA_CONSENSUS_FILTER
ed,75-84,all,7,item_drug_SIMVASTATIN,SIMVASTATIN,HMGCR,0.0628544048775277,0.0628544048775277,SHAP_FFA_CONSENSUS_FILTER
ed,75-84,all,7,item_drug_SIMVASTATIN,SIMVASTATIN,LPA,0.0628544048775277,0.0628544048775277,SHAP_FFA_CONSENSUS_FILTER
ed,75-84,all,9,item_drug_OMEPRAZOLE,OMEPRAZOLE,CYP2C19,0.0439853916043712,0.05,SHAP_FFA_CONSENSUS_FILTER
ed,75-84,all,11,item_drug_LATANOPROST,LATANOPROST,PTGFR,0.0105274325215499,0.05,SHAP_FFA_CONSENSUS_FILTER
ed,75-84,all,12,item_drug_ATENOLOL,ATENOLOL,ADRA2C,0.0049709752911674,0.05,SHAP_FFA_CONSENSUS_FILTER
ed,75-84,all,12,item_drug_ATENOLOL,ATENOLOL,ADRB1,0.0049709752911674,0.05,SHAP_FFA_CONSENSUS_FILTER
ed,75-84,all,12,item_drug_ATENOLOL,ATENOLOL,GRK4,0.0049709752911674,0.05,SHAP_FFA_CONSENSUS_FILTER
ed,75-84,all,12,item_drug_ATENOLOL,ATENOLOL,GRK5,0.0049709752911674,0.05,SHAP_FFA_CONSENSUS_FILTER
