cohort,age_band,bin,rank,feature,drug_name,combined_importance,source
ed,75-84,all,1,item_drug_AZITHROMYCIN,AZITHROMYCIN,0.152155931520115,SHAP_FFA_CONSENSUS_FILTER
ed,75-84,all,2,item_drug_ELIQUIS,ELIQUIS,0.1289408176177645,SHAP_FFA_CONSENSUS_FILTER
ed,75-84,all,3,item_drug_HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,0.1094721622284044,SHAP_FFA_CONSENSUS_FILTER
ed,75-84,all,4,item_drug_LISINOPRIL,LISINOPRIL,0.0751473745541501,SHAP_FFA_CONSENSUS_FILTER
ed,75-84,all,5,item_drug_CARVEDILOL,CARVEDILOL,0.07040110649759,SHAP_FFA_CONSENSUS_FILTER
ed,75-84,all,6,item_drug_LORAZEPAM,LORAZEPAM,0.0682949386139668,SHAP_FFA_CONSENSUS_FILTER
ed,75-84,all,7,item_drug_SIMVASTATIN,SIMVASTATIN,0.0628544048775277,SHAP_FFA_CONSENSUS_FILTER
ed,75-84,all,8,item_drug_CEPHALEXIN,CEPHALEXIN,0.0451901916158341,SHAP_FFA_CONSENSUS_FILTER
ed,75-84,all,9,item_drug_OMEPRAZOLE,OMEPRAZOLE,0.0439853916043712,SHAP_FFA_CONSENSUS_FILTER
ed,75-84,all,10,item_drug_AMOXICILLIN,AMOXICILLIN,0.0122324988394344,SHAP_FFA_CONSENSUS_FILTER
ed,75-84,all,11,item_drug_LATANOPROST,LATANOPROST,0.0105274325215499,SHAP_FFA_CONSENSUS_FILTER
ed,75-84,all,12,item_drug_ATENOLOL,ATENOLOL,0.0049709752911674,SHAP_FFA_CONSENSUS_FILTER
