feature,shap_norm,ffa_norm,combined_importance
pgx_num_drugs,0.9999999997181881,0.9999999997546062,0.9999999997363971
item_drug_CARVEDILOL,0.5847508647356903,0.2034497067426653,0.39410028573917777
item_drug_LISINOPRIL,0.35262403585440383,0.07254430433320945,0.21258417009380665
item_drug_LEVOFLOXACIN,0.3494565449823945,0.06900347058166191,0.2092300077820282
item_drug_GABAPENTIN,0.2540636110347187,0.037264504228400885,0.1456640576315598
item_drug_FUROSEMIDE,0.1994488723008019,0.03098297010837574,0.11521592120458883
item_drug_PREDNISONE,0.20408557433281727,0.02591143087784548,0.11499850260533137
item_drug_SIMVASTATIN,0.10669470232456423,0.008673436535689286,0.05768406943012676
item_drug_LORAZEPAM,0.08733586471840599,0.0061553276993787185,0.046745596208892355
item_drug_CEPHALEXIN,0.030942992593514976,0.0007407523944456171,0.015841872493980298
item_drug_OMEPRAZOLE,0.02562435582971125,0.0012419990823365683,0.013433177456023909
item_drug_CLOPIDOGREL,0.015324298042445698,0.0002466589870508303,0.007785478514748264
item_drug_AMOXICILLIN,0.012188142019530298,0.00014450550289487452,0.0061663237612125865
item_drug_AZITHROMYCIN,0.011696206005360182,0.0002826613458675736,0.005989433675613878
item_drug_ALLOPURINOL,0.00500662777184442,3.2264393727657074e-05,0.0025194460827860383
item_drug_ALPRAZOLAM,0.0,0.0,0.0
