feature,shap_norm,ffa_norm,combined_importance,combined_importance_norm
pgx_num_drugs,0.9999999998981918,0.9999999998338058,0.9999999998659987,0.9999999999
item_drug_SIMVASTATIN,0.06586151932420241,0.008928495702414016,0.03739500751330821,0.037395006141642526
item_drug_FUROSEMIDE,0.0612564897938706,0.008243409084470712,0.03474994943917065,0.03474994806364246
item_drug_AMOXICILLIN,0.04018602071703006,0.00363235689724743,0.021909188807138748,0.021909187412859528
item_drug_ALPRAZOLAM,0.01683513375784697,0.0007754667089121272,0.008805300233379549,0.008805298819965062
item_drug_LISINOPRIL,0.010958340696774944,0.0004909747783004888,0.005724657737537716,0.005724656319624647
item_drug_CARVEDILOL,0.00823503348799367,0.00023087137003877713,0.004232952429016224,0.004232951008924857
item_drug_MELOXICAM,0.007969185117534585,0.00018153916513929404,0.0040753621413369395,0.004075360721015447
item_drug_HYDROCHLOROTHIAZIDE,0.007015618656947852,0.00017097404263271903,0.003593296349790286,0.0035932949287648453
item_drug_ALLOPURINOL,0.005469171101990048,0.00011300880651696264,0.0027910899542535053,0.0027910885320566237
item_drug_PREDNISONE,0.00543684123853485,0.00012975021730536772,0.002783295727920109,0.002783294305711846
item_drug_OMEPRAZOLE,0.004499304887044286,8.760119446437341e-05,0.0022934530407543296,0.002293451617830762
item_drug_LORAZEPAM,0.0034642672227503876,3.443207330106002e-05,0.0017493496480257239,0.001749348224307616
item_drug_OFLOXACIN,0.0034493691180714097,3.506572176013559e-05,0.0017422174199157726,0.0017422159961872497
item_drug_CRESTOR,0.0032677093654824366,3.250932106102865e-05,0.0016501093432717325,0.0016501079194087068
item_drug_AZITHROMYCIN,0.0017848932395973021,1.2375871501574024e-05,0.0008986345555494381,0.0008986331305890534
item_drug_ATENOLOL,0.0016834182479119678,2.3490091406972903e-05,0.0008534541696594703,0.0008534527446331098
item_drug_METRONIDAZOLE,0.0014441293241266424,6.3314245936602484e-06,0.0007252303743601513,0.000725228949146549
item_drug_NAPROXEN,0.0008265903286529886,2.299813887803016e-06,0.00041444507127039583,0.00041444364560296173
item_drug_SYNTHROID,0.00072508861508948,1.9912342140665593e-06,0.0003635399246517733,0.00036353849891000375
item_drug_CEPHALEXIN,0.0005054078711026979,9.612807153875718e-07,0.0002531845759090427,0.00025318315000612415
item_drug_LATANOPROST,0.0005044283679650698,9.595930444396644e-07,0.0002526939805047547,0.00025269255460111975
item_drug_BENZONATATE,0.0004588869877220162,6.234178602508212e-07,0.00022975520279113352,0.00022975377685400167
item_drug_KETOCONAZOLE,0.00038792255939618065,7.83545080096447e-07,0.00019435305223813854,0.00019435162624930987
item_drug_GABAPENTIN,0.00036928212755574013,7.267378601162516e-07,0.0001850044327079282,0.00018500300670544798
item_drug_LOVASTATIN,0.0002878293569488193,1.2175802293591072e-06,0.00014452346858908921,0.0001445220425274957
item_drug_LEVOFLOXACIN,0.00010737070741470366,1.8449925501058337e-07,5.377760333485712e-05,5.377617714074978e-05
item_drug_CLOPIDOGREL,0.00010045511898766565,8.930249281343299e-08,5.0272210740239545e-05,5.027078454101337e-05
item_drug_IBUPROFEN,8.455498975599373e-05,4.0437599891956136e-08,4.2297713677942845e-05,4.229628746707172e-05
item_drug_FINASTERIDE,2.48862528564457e-06,0.0,1.244312642822285e-06,1.2428863720019491e-06
item_drug_XARELTO,0.0,2.8525452705805702e-09,1.4262726352902851e-09,0.0
