feature,shap_norm,ffa_norm,combined_importance,combined_importance_norm
pgx_num_drugs,0.9999999998722576,0.9999999998542525,0.999999999863255,0.9999999999
item_drug_AZITHROMYCIN,0.09099600713403559,0.012010932235774232,0.051503469684904914,0.05150346968679741
item_drug_LISINOPRIL,0.07282310914471772,0.005805628425536056,0.03931436878512689,0.03931436878657149
item_drug_SIMVASTATIN,0.04806302831734932,0.0032084347203030733,0.025635731518826196,0.02563573151976818
item_drug_CARVEDILOL,0.036721554744022174,0.002280061163449663,0.01950080795373592,0.019500807954452474
item_drug_LORAZEPAM,0.0227166041482964,0.0011850000909190304,0.011950802119607716,0.011950802120046847
item_drug_OMEPRAZOLE,0.01655719574774479,0.0008171294480686702,0.00868716259790673,0.00868716259822594
item_drug_CEPHALEXIN,0.005970218856106409,0.00024498812429769255,0.003107603490202051,0.0031076034903162394
item_drug_HYDROCHLOROTHIAZIDE,0.0043298029549516375,0.00011391139478553219,0.0022218571748685847,0.002221857174950227
