feature,shap_norm,ffa_norm,combined_importance,combined_importance_norm
pgx_num_drugs,0.9999999997601425,0.9999999997891883,0.9999999997746654,0.9999999999
item_drug_ALPRAZOLAM,0.2112315645710216,0.04787817158680113,0.12955486807891137,0.12955486809514907
item_drug_CARVEDILOL,0.0919689832697482,0.009174709654560433,0.05057184646215432,0.05057184646849272
item_drug_IBUPROFEN,0.07333819900211473,0.007278611379826317,0.04030840519097052,0.040308405196022565
item_drug_METRONIDAZOLE,0.07150657881507205,0.008319318899249492,0.03991294885716077,0.03991294886216325
item_drug_AMOXICILLIN,0.07468145894785283,0.004193754050615339,0.039437606499234085,0.039437606504176985
item_drug_LEVOFLOXACIN,0.0628877427255508,0.0046776914407261625,0.03378271708313848,0.03378271708737263
item_drug_PREDNISONE,0.045507349362276614,0.0019805890113902907,0.02374396918683345,0.023743969189809394
item_drug_MELOXICAM,0.04391607603364014,0.002040743049599189,0.022978409541619664,0.022978409544499655
item_drug_ALLOPURINOL,0.03946907331027875,0.0026350273537487446,0.021052050332013746,0.021052050334652298
item_drug_CEPHALEXIN,0.030140899524463884,0.0008966932676837846,0.015518796396073835,0.015518796398018878
item_drug_LISINOPRIL,0.02915354918035378,0.0014238279618461456,0.015288688571099964,0.015288688573016166
item_drug_HYDROCHLOROTHIAZIDE,0.02621374290924302,0.0007731251649168096,0.013493434037079914,0.013493434038771108
item_drug_LATANOPROST,0.021671968491384506,0.0007862068289099126,0.01122908766014721,0.011229087661554603
item_drug_AZITHROMYCIN,0.021982512478569312,0.0004275092674628923,0.011205010873016102,0.011205010874420478
item_drug_LORAZEPAM,0.019215268376260343,0.0004855660080421505,0.009850417192151247,0.009850417193385846
item_drug_SHINGRIX,0.015561574979424921,0.00046574423752864907,0.008013659608476786,0.008013659609481175
item_drug_OMEPRAZOLE,0.008806612500690642,0.00013458841796925875,0.004470600459329951,0.004470600459890272
item_drug_SIMVASTATIN,0.008538417345627946,0.00011562327053890413,0.004327020308083425,0.004327020308625751
item_drug_GABAPENTIN,0.007460932304540415,8.719287187351207e-05,0.0037740625882069635,0.0037740625886799844
item_drug_FUROSEMIDE,0.005178730003538728,7.871948057691167e-05,0.0026287247420578195,0.00262872474238729
item_drug_ATENOLOL,0.003251352672663462,1.900601890332677e-05,0.0016351793457833944,0.001635179345988339
item_drug_FINASTERIDE,0.0021196692028685508,9.110504293425033e-06,0.0010643898535809878,0.0010643898537143928
item_drug_SYNTHROID,0.0007978687576819376,2.42409213565396e-06,0.00040014642490879574,0.00040014642495894796
item_drug_NAPROXEN,0.00019343483083089614,6.019700697182238e-08,9.674751391893398e-05,9.674751393105979e-05
