feature,shap_norm,ffa_norm,combined_importance,combined_importance_norm
pgx_num_drugs,0.9999999999559605,0.9999999992906689,0.9999999996233147,0.9999999999
item_cpt_99215,0.5589839016197647,0.19557461681655913,0.37727925921816197,0.37727918770804914
item_cpt_70450,0.21792859067823983,0.021105356195975283,0.11951697343710756,0.11951687221234422
item_cpt_93005,0.19406191372672835,0.03038024455213169,0.11222107913943002,0.11222097707360125
item_cpt_97110,0.1470361103125036,0.026702123113068504,0.08686911671278605,0.08686901172440133
item_cpt_85610,0.13921572210423458,0.014857449840187805,0.07703658597221119,0.07703647985033941
item_cpt_99214,0.12017645248283351,0.03031124441978786,0.07524384845131069,0.07524374212277342
item_icd_Z23,0.12187510409326319,0.02447130107942013,0.07317320258634166,0.07317309601910182
item_cpt_99233,0.12223934030815246,0.007003765190589969,0.06462155274937122,0.06462144519630336
item_cpt_88305,0.0986819891985483,0.012379922442754147,0.05553095582065122,0.0555308472196259
item_cpt_71020,0.09895601218167868,0.008922566103640013,0.053939289142659344,0.05393918035814784
item_cpt_84439,0.09365063572108195,0.009318014866056708,0.05148432529356933,0.051484216226051364
item_cpt_93000,0.07374910213505308,0.012483318890682472,0.04311621051286778,0.04311610048067957
item_drug_PREDNISONE,0.07365741114538107,0.0072275629921287965,0.04044248706875494,0.04044237672834182
item_cpt_96374,0.07442821745053368,0.002957386982864786,0.03869280221669923,0.03869269167458371
item_cpt_87086,0.0701390406630717,0.0065397047827263285,0.038339372722899015,0.038339262140040395
item_cpt_81003,0.06808519827171564,0.006081784827294754,0.037083491549505194,0.037083380821869495
item_drug_GABAPENTIN,0.06680790988602686,0.006558571395284611,0.036683240640655736,0.036683129866879396
item_cpt_90471,0.06841794268770916,0.0037942455450451955,0.03610609411637718,0.03610598327606781
item_drug_CARVEDILOL,0.06440670494184729,0.007304341850924714,0.035855523396386,0.035855412527191016
item_cpt_85027,0.06543181393966346,0.0060065679284553265,0.0357191909340594,0.03571908004914811
item_cpt_97162,0.06525163636168894,0.0031710260767154642,0.0342113312192022,0.03421122016046593
item_cpt_84443,0.05648614808008896,0.007881818066793547,0.03218398307344125,0.032183871780993745
item_cpt_99213,0.0548750536260112,0.006876310194784068,0.030875681910397634,0.030875570467130114
item_cpt_83036,0.0540418120490296,0.006799107884472914,0.03042045996675126,0.03042034847100608
item_cpt_90662,0.054989443754995926,0.005296166251461797,0.030142805003228863,0.03014269347547582
item_cpt_90670,0.052303731524176125,0.00537335432220376,0.028838542923189943,0.028838431245082508
item_icd_I10,0.05084401781295025,0.006724315388605662,0.028784166600777955,0.02878405491640206
item_cpt_92015,0.05324450332235632,0.003637376620552577,0.02844093997145445,0.028440828247511634
item_cpt_99232,0.05439413675737187,0.002057979629803781,0.028226058193587825,0.02822594644487359
item_icd_E785,0.05191013848169189,0.004057194153288424,0.027983666317490156,0.027983554540833164
item_cpt_92134,0.050362451508596466,0.0044818265614255835,0.027422139035011023,0.02742202719362157
item_cpt_99285,0.04837382101841141,0.0031877871549385295,0.02578080408667497,0.02578069205607361
item_drug_FUROSEMIDE,0.04905934513663098,0.0024846923862043247,0.025772018761417652,0.025771906729803524
item_cpt_99283,0.049031287180464914,0.0019045481635216555,0.025467917671993284,0.0254678056053226
item_icd_R079,0.04315677559265267,0.002718918729380209,0.02293784716101644,0.02293773480268105
item_icd_R109,0.04119214700204585,0.0016021165134828801,0.021397131757764365,0.021397019221816416
item_drug_OMEPRAZOLE,0.04119400975478369,0.0015413287820459534,0.02136766926841482,0.021367556729070456
item_cpt_99203,0.03687854443181475,0.004235276110403502,0.020556910271109126,0.02055679763830105
item_cpt_74177,0.039408765419482246,0.001397411245199926,0.020403088332341085,0.020402975681800526
item_icd_E039,0.037615832854195994,0.0030770474610719136,0.020346440157633955,0.020346327500563036
item_cpt_99223,0.038673996963226515,0.0012191288155370525,0.019946562889381785,0.019946450186213303
item_cpt_71046,0.03852008847657587,0.0013092220969284222,0.019914655286752146,0.019914542579905378
item_cpt_36415,0.03407286548030652,0.003916030001798795,0.018994447741052654,0.018994334928125023
item_cpt_96361,0.03650960661345982,0.0007195083899793606,0.01861455750171959,0.018614444644998486
item_cpt_99284,0.034330920900302056,0.0010664534764561365,0.017698687188379095,0.01769857422607712
item_cpt_97001,0.034601548929068894,0.0007846389450336094,0.017693093937051253,0.017692980974104492
item_icd_Z1231,0.03221389658048723,0.002655034113840781,0.017434465347164002,0.017434352354402726
item_cpt_80048,0.030828321594878534,0.00045628561400529465,0.015642303604441913,0.01564219040508152
item_cpt_92014,0.026955306713186952,0.0018128475504016488,0.0143840771317943,0.014383963787386466
