source,target,relation,weight,mentions,evidence,seed_edge,feature_importance,rank,source_feature,cohort,age_band,density_bin
CYP2D6,GRK4,co_metabolizes,1.0,,,False,,,,,,
CYP2D6,CYP3A5,co_metabolizes,1.0,,,False,,,,,,
CYP3A4,inhibitors,metabolizes,0.2,2,,False,,,,,,
CYP3A4,quetiapine,metabolizes,0.1,1,,False,,,,,,
CYP3A4,inducers,metabolizes,0.2,2,,False,,,,,,
CYP3A4,SIMVASTATIN,feature_importance_drug_gene,0.0576840694301267,,Top consensus drug feature rank 8; combined importance 0.0577,True,0.0576840694301267,8,item_drug_SIMVASTATIN,ed,65-74,all
CYP3A4,HMGCR,co_metabolizes,1.0,,,False,,,,,,
CYP3A4,SLCO1B1,co_metabolizes,1.0,,,False,,,,,,
CYP3A4,LPA,co_metabolizes,1.0,,,False,,,,,,
CYP3A4,CYP3A5,co_metabolizes,1.0,,,False,,,,,,
CYP3A5,tacrolimus,metabolizes,0.1,1,,False,,,,,,
CYP3A5,SIMVASTATIN,feature_importance_drug_gene,0.0576840694301267,,Top consensus drug feature rank 8; combined importance 0.0577,True,0.0576840694301267,8,item_drug_SIMVASTATIN,ed,65-74,all
CYP3A5,HLA-B,co_metabolizes,1.0,,,False,,,,,,
CYP3A5,HMGCR,co_metabolizes,1.0,,,False,,,,,,
CYP3A5,SLCO1B1,co_metabolizes,2.0,,,False,,,,,,
CYP3A5,LPA,co_metabolizes,1.0,,,False,,,,,,
G6PD,dehydrogenase,metabolizes,0.2,2,,False,,,,,,
G6PD,tablets,metabolizes,0.2,2,,False,,,,,,
G6PD,S Of Adverse,affects_risk,0.1,1,,False,,,,,,
G6PD,Deficiency May Have Increased,affects_risk,0.1,1,,False,,,,,,
G6PD,OFLOXACIN,feature_importance_drug_gene,0.05,,Top consensus drug feature rank 22; combined importance 0.0017,True,0.0017422174199157,22,item_drug_OFLOXACIN,ed,65-74,all
GRK4,CARVEDILOL,feature_importance_drug_gene,0.3941002857391777,,Top consensus drug feature rank 1; combined importance 0.3941,True,0.3941002857391777,1,item_drug_CARVEDILOL,ed,65-74,all
GRK4,ATENOLOL,feature_importance_drug_gene,0.05,,Top consensus drug feature rank 24; combined importance 0.0009,True,0.0008534541696594,24,item_drug_ATENOLOL,ed,65-74,all
GRK4,GRK5,co_metabolizes,2.0,,,False,,,,,,
GRK5,CARVEDILOL,feature_importance_drug_gene,0.3941002857391777,,Top consensus drug feature rank 1; combined importance 0.3941,True,0.3941002857391777,1,item_drug_CARVEDILOL,ed,65-74,all
GRK5,ATENOLOL,feature_importance_drug_gene,0.05,,Top consensus drug feature rank 24; combined importance 0.0009,True,0.0008534541696594,24,item_drug_ATENOLOL,ed,65-74,all
HLA-A,ALLOPURINOL,feature_importance_drug_gene,0.05,,Top consensus drug feature rank 14; combined importance 0.0211,True,0.0210520503320137,14,item_drug_ALLOPURINOL,ed,65-74,all
HLA-A,HLA-B,co_metabolizes,1.0,,,False,,,,,,
HLA-A,HLA-C,co_metabolizes,1.0,,,False,,,,,,
HLA-B,ALLOPURINOL,feature_importance_drug_gene,0.05,,Top consensus drug feature rank 14; combined importance 0.0211,True,0.0210520503320137,14,item_drug_ALLOPURINOL,ed,65-74,all
HLA-B,HLA-C,co_metabolizes,1.0,,,False,,,,,,
HLA-B,SLCO1B1,co_metabolizes,1.0,,,False,,,,,,
HLA-C,ALLOPURINOL,feature_importance_drug_gene,0.05,,Top consensus drug feature rank 14; combined importance 0.0211,True,0.0210520503320137,14,item_drug_ALLOPURINOL,ed,65-74,all
HMGCR,enzyme,metabolizes,0.2,2,,False,,,,,,
