feature,shap_norm,ffa_norm,combined_importance
pgx_num_drugs,0.9999999999417054,0.9999999994887958,0.9999999997152507
item_icd_R0602,0.30964928077441145,0.06273915112731676,0.1861942159508641
item_drug_FUROSEMIDE,0.2922006230159912,0.06164155331763295,0.17692108816681207
item_cpt_80061,0.2751284807076308,0.04943624374645571,0.16228236222704326
item_icd_I10,0.2464154765552799,0.03771282877047455,0.14206415266287722
item_cpt_80048,0.19745389696801524,0.030806285533382504,0.11413009125069887
item_cpt_83735,0.19403020646264352,0.027409108281260686,0.11071965737195211
item_icd_Z23,0.1877070888488877,0.025481747906191246,0.10659441837753947
item_cpt_71020,0.1752543986111103,0.02477469723104926,0.10001454792107978
item_drug_GABAPENTIN,0.17099025072865573,0.020857734130854826,0.09592399242975527
item_cpt_71045,0.1602359543201253,0.02133395222059988,0.0907849532703626
item_cpt_92014,0.1633413825918557,0.016911487174484967,0.09012643488317033
item_cpt_97116,0.13386637474016652,0.013760130482663807,0.07381325261141516
item_drug_PREDNISONE,0.119593069329191,0.011198234169870152,0.06539565174953058
item_cpt_99283,0.11583066731639517,0.009345486753442477,0.06258807703491882
item_cpt_92015,0.10881571111608275,0.010200012098415695,0.059507861607249225
item_cpt_73030,0.09345915402264753,0.009473108620964054,0.05146613132180579
item_cpt_99203,0.08712216511443224,0.005108134549743522,0.04611514983208788
item_cpt_71010,0.08549671221193665,0.006367931278141054,0.045932321745038855
item_cpt_97001,0.08097410261472414,0.008602532410922414,0.04478831751282328
item_cpt_87086,0.07104509379880886,0.004112917540254328,0.037579005669531595
item_cpt_93306,0.06947793298967811,0.0035692351384157576,0.03652358406404693
item_cpt_97110,0.06928286402364679,0.003170831255882089,0.03622684763976444
item_cpt_81001,0.06020125211973878,0.0031577722686169946,0.03167951219417789
item_cpt_96374,0.055817880305897016,0.0021988861746394268,0.02900838324026822
item_icd_R079,0.053021298271400695,0.002190868934967335,0.027606083603184013
item_cpt_93010,0.050859331846120966,0.0016728433792953228,0.026266087612708145
item_cpt_99211,0.04964142985996043,0.002662222774871155,0.02615182631741579
item_drug_CEPHALEXIN,0.0477089657120987,0.0019315385518112078,0.024820252131954955
item_cpt_99232,0.04278315552884829,0.0020205129203607797,0.022401834224604535
item_drug_MIRTAZAPINE,0.04203537301648667,0.0019464516857394586,0.021990912351113064
item_cpt_82550,0.042227782799387284,0.0015955481638732527,0.021911665481630267
item_cpt_99285,0.04135075776656281,0.0012893573831203708,0.02132005757484159
item_cpt_99212,0.03796195932054478,0.001114727307788514,0.019538343314166647
item_cpt_88305,0.03424789690284688,0.0008786138344941236,0.017563255368670504
item_cpt_43239,0.031792160720129546,0.0010304685517369652,0.016411314635933257
item_cpt_86850,0.031113553902264866,0.0009497945008631515,0.016031674201564008
item_cpt_70450,0.03019411023327235,0.0007204116331490137,0.015457260933210681
item_cpt_74176,0.029941793019885865,0.0008293592244640438,0.015385576122174954
item_cpt_86900,0.029560725079407907,0.0008475585339282287,0.015204141806668068
item_cpt_90662,0.02957937823826908,0.0008197209924386917,0.015199549615353887
item_cpt_99309,0.027368928373189917,0.0007346116083774114,0.014051769990783664
item_cpt_80307,0.026941017600048713,0.0008273487895081078,0.01388418319477841
item_cpt_99204,0.027213076526794316,0.0005211641409235673,0.01386712033385894
item_cpt_81003,0.026455238492257956,0.0005582360648053923,0.013506737278531675
item_icd_Z5181,0.024421738992361303,0.000635314467076632,0.012528526729718967
item_cpt_99497,0.024068541934725313,0.0007430541780978329,0.012405798056411572
item_cpt_84443,0.021880178062870476,0.0015091514754598725,0.011694664769165175
item_cpt_82565,0.021932722199716696,0.0003603020242126364,0.011146512111964666
item_cpt_82607,0.021538558559859027,0.00029122643497442275,0.010914892497416725
item_cpt_99215,0.020633522687185712,0.00040048841578640867,0.010517005551486061
item_cpt_99233,0.020290213980855138,0.0003545276215461907,0.010322370801200664
item_cpt_97530,0.019458641929861718,0.0003408009302790735,0.009899721430070396
item_cpt_90833,0.018232960666735524,0.0005538598874337425,0.009393410277084633
item_cpt_83540,0.017054454634163912,0.00035170938393291635,0.008703082009048414
item_cpt_97535,0.017051637999400487,0.0002336201467935118,0.008642629073097
item_drug_OMEPRAZOLE,0.016553995591429477,0.00019441950128061666,0.008374207546355046
item_drug_CLOPIDOGREL,0.016066593371128396,0.0002528910526753531,0.008159742211901874
item_cpt_90791,0.01595433035698612,0.0002353879831872632,0.008094859170086692
item_cpt_96360,0.014884274482043013,0.00028016678326230564,0.007582220632652659
item_cpt_93000,0.013858303120419259,0.0003876935110639785,0.007122998315741619
item_icd_I509,0.013317463565429448,0.00015880272312013052,0.0067381331442747895
item_cpt_84100,0.012163935970890985,0.00014610859987134817,0.006155022285381166
item_cpt_99223,0.011892280392463817,0.00015524988382648605,0.006023765138145151
item_cpt_73502,0.010682796237112813,0.00010776605327444017,0.005395281145193627
item_drug_LISINOPRIL,0.010593286927748514,6.318718773512935e-05,0.005328237057741821
item_cpt_86803,0.010536393432528816,9.553613427779688e-05,0.005315964783403307
item_icd_Z1231,0.009529723502846706,0.0001470126035934525,0.004838368053220079
item_cpt_82306,0.00906206299590474,0.000150114870231268,0.004606088933068004
item_cpt_99284,0.008726750305515748,7.13725236892723e-05,0.00439906141460251
item_icd_N390,0.008286268671770626,6.814097079936056e-05,0.0041772048212849935
item_cpt_93005,0.007849855510461563,9.863381961542708e-05,0.003974244665038495
item_cpt_99213,0.0076515053301578935,9.645105290302742e-05,0.0038739781915304605
item_cpt_77001,0.007156422969104365,0.00010657831465796227,0.003631500641881164
item_cpt_77052,0.0070757756596617075,5.926030043351723e-05,0.003567517980047612
item_cpt_85610,0.006716568226119219,0.0001821590640508325,0.0034493636450850258
item_icd_R4182,0.006776792017756059,6.450641902561187e-05,0.0034206492183908354
item_drug_SIMVASTATIN,0.006600266869174308,6.304947599068845e-05,0.003331658172582498
item_cpt_71275,0.006462343126590356,0.000169179410822351,0.0033157612687063536
item_cpt_96372,0.006493695439978417,2.6270040495283475e-05,0.0032599827402368504
item_icd_R197,0.006421249708331196,5.4458431144301304e-05,0.0032378540697377486
item_drug_AZITHROMYCIN,0.005861441605252907,3.055096604043536e-05,0.002945996285646671
item_icd_R531,0.0058097974697148055,2.3761363296396027e-05,0.002916779416505601
item_cpt_71046,0.005544759719480934,3.5408646974593234e-05,0.0027900841832277637
item_cpt_84156,0.005521657580071251,4.785865644517633e-05,0.0027847581182582136
item_cpt_82746,0.005103433970038076,2.7075307839707953e-05,0.002565254638938892
item_icd_Z452,0.005074003149723614,2.694036002753835e-05,0.0025504717548755764
item_cpt_83550,0.005073554606955043,2.693830334462444e-05,0.0025502464551498336
item_cpt_93880,0.005015785408518696,5.5796675276204466e-05,0.0025357910418974503
item_cpt_83880,0.0050016823102665585,2.6608750546228622e-05,0.0025141455304063935
item_cpt_96361,0.004911828453965186,2.6196747714050897e-05,0.0024690126008396185
item_cpt_84550,0.004621618366928222,3.579242133241923e-05,0.0023287053941303208
item_cpt_99202,0.004380469042344064,4.9970500352450896e-05,0.0022152197713482574
item_cpt_83615,0.0043626857551575865,1.8453062467321654e-05,0.0021905694088124542
item_cpt_97140,0.00428604568696048,2.8482817397807283e-05,0.0021572642521791438
item_drug_SPIRONOLACTONE,0.0040804269755738976,1.2450799388343636e-05,0.0020464388874811205
item_cpt_83036,0.003876290933728933,0.00014572015062646546,0.002011005542177699
item_cpt_71250,0.003969327354051299,2.6740136263808632e-05,0.0019980337451575535
item_icd_E039,0.003964072162827749,1.699086653499709e-05,0.001990531514681373
item_cpt_87088,0.003913568579703339,2.161947176424869e-05,0.001967594025733794
item_cpt_99231,0.003900672124673697,2.156033823102064e-05,0.0019611162314523587
item_icd_M25551,0.0037203054478302344,1.6096680521363737e-05,0.0018682010641757991
item_drug_AMOXICILLIN,0.003711233512398274,2.0691713911553347e-05,0.0018659626131549137
item_cpt_11100,0.0035358916808712064,1.0952699521249932e-05,0.001773422190196228
item_cpt_84439,0.0033428384845084176,2.7583476975813725e-05,0.0016852109807421157
item_cpt_99495,0.003307441024852109,1.458220963653597e-05,0.0016610116172443225
item_cpt_99239,0.0031227172142458985,5.479072158151406e-05,0.0015887539679137063
item_cpt_87077,0.0030319793933767775,1.3571760206799933e-05,0.0015227755767917887
item_cpt_82570,0.002940176830139356,1.3235009686683065e-05,0.0014767059199130197
item_drug_ALPRAZOLAM,0.002854011910085253,1.2918939191254679e-05,0.0014334654246382537
item_cpt_99205,0.002820016450306874,5.172197664693656e-06,0.0014125943239857838
item_drug_CEFDINIR,0.0027019947884857507,8.658521649208437e-06,0.0013553266550674797
item_icd_M545,0.002655124255998225,4.8697685699142265e-06,0.0013299970122840695
item_icd_D649,0.002586630851909827,4.744144684055555e-06,0.0012956874982969413
item_cpt_99219,0.0025440433440060586,1.1781911289570781e-05,0.0012779126276478148
item_cpt_82043,0.0023161697676594194,4.248091482593468e-06,0.0011602089295710064
item_cpt_99222,0.002243568042264948,2.7091641868345186e-05,0.0011353298420666467
item_icd_E1165,0.002203574598606723,1.05330025112805e-05,0.0011070538005590017
item_cpt_84484,0.002148452191274414,4.2282411946510947e-05,0.0010953673016104626
item_icd_R51,0.0021184202361769367,1.0220638947266617e-05,0.0010643204375621017
item_cpt_99291,0.002055516365050742,9.989894722137227e-06,0.0010327531298864397
item_icd_E785,0.0019465523027876112,3.570175370284293e-06,0.0009750612390789478
item_drug_NAPROXEN,0.0018929815715767,1.2354565345346698e-05,0.0009526680684610234
item_cpt_85027,0.0018402277422010754,2.0850185898001157e-05,0.0009305389640495383
item_cpt_88341,0.0017736225428009616,3.253004560638252e-06,0.0008884377736807999
item_cpt_72110,0.0016798848795587158,5.846540986770793e-06,0.0008428657102727433
item_icd_E119,0.0016500876440248573,2.219337587323664e-05,0.0008361405099490469
item_icd_I2510,0.0016457057262088091,3.0183920781539805e-06,0.0008243620591434816
item_cpt_97162,0.0016389525576460152,8.46185374094354e-06,0.0008237072056934794
item_cpt_76937,0.0015370096718946129,5.45346944174001e-06,0.0007712315706681764
item_icd_L821,0.0014752808564720014,5.2836440308252654e-06,0.0007402822502514133
item_cpt_17003,0.0014243401506820123,2.612385044876331e-06,0.0007134762678634443
item_cpt_83605,0.0011924899486850772,2.187148137766514e-06,0.0005973385484114218
item_cpt_85730,0.0010431524206130991,1.9132478866311145e-06,0.0005225328342498651
item_cpt_80069,0.0010218240418808672,6.198100515171388e-06,0.0005140110711980193
item_cpt_96365,0.0009311972632897732,1.7079107145039434e-06,0.00046645258700213853
item_icd_R1310,0.0009180099601052118,1.6837238560452373e-06,0.00045984684198062853
item_drug_HYDROCHLOROTHIAZIDE,0.0008945924314682235,1.640773721156504e-06,0.00044811660259469
item_icd_Z01818,0.0008754579274149925,3.6334394269332748e-06,0.0004395456834209629
item_icd_M1711,0.0007264029861468334,1.332297131871802e-06,0.0003638676416393526
item_cpt_99152,0.0006321529976459018,1.1594330443701584e-06,0.000316656215345136
item_cpt_83690,0.0005810746431677243,4.581341853716643e-06,0.0002928279925107205
item_cpt_90471,0.0005675772963359812,6.277248937822686e-06,0.00028692727263690196
item_cpt_76700,0.0005285821397658803,9.69473532183954e-07,0.0002647758066490321
item_drug_NYSTATIN,0.0005178139545682646,9.497235827373698e-07,0.00025938183907550096
item_cpt_36556,0.0005092195981241852,6.009664017905726e-06,0.00025761463107104544
item_cpt_96376,0.0004745745288703041,2.5305478936897395e-06,0.00023855253838199692
item_cpt_99221,0.00021546490550329584,3.2402107896539217e-06,0.00010935255814647487
item_icd_A419,7.180183222321567e-05,1.3169188034531794e-07,3.59667620517805e-05
item_icd_Z5111,0.0,0.0,0.0
