feature,shap_norm,ffa_norm,combined_importance
pgx_num_drugs,0.9999999999559605,0.9999999992906689,0.9999999996233147
item_cpt_99215,0.5589839016197647,0.19557461681655913,0.37727925921816197
item_cpt_70450,0.21792859067823983,0.021105356195975283,0.11951697343710756
item_cpt_93005,0.19406191372672835,0.03038024455213169,0.11222107913943002
item_cpt_97110,0.1470361103125036,0.026702123113068504,0.08686911671278605
item_cpt_85610,0.13921572210423458,0.014857449840187805,0.07703658597221119
item_cpt_99214,0.12017645248283351,0.03031124441978786,0.07524384845131069
item_icd_Z23,0.12187510409326319,0.02447130107942013,0.07317320258634166
item_cpt_99233,0.12223934030815246,0.007003765190589969,0.06462155274937122
item_cpt_88305,0.0986819891985483,0.012379922442754147,0.05553095582065122
item_cpt_71020,0.09895601218167868,0.008922566103640013,0.053939289142659344
item_cpt_84439,0.09365063572108195,0.009318014866056708,0.05148432529356933
item_cpt_93000,0.07374910213505308,0.012483318890682472,0.04311621051286778
item_drug_PREDNISONE,0.07365741114538107,0.0072275629921287965,0.04044248706875494
item_cpt_96374,0.07442821745053368,0.002957386982864786,0.03869280221669923
item_cpt_87086,0.0701390406630717,0.0065397047827263285,0.038339372722899015
item_cpt_81003,0.06808519827171564,0.006081784827294754,0.037083491549505194
item_drug_GABAPENTIN,0.06680790988602686,0.006558571395284611,0.036683240640655736
item_cpt_90471,0.06841794268770916,0.0037942455450451955,0.03610609411637718
item_drug_CARVEDILOL,0.06440670494184729,0.007304341850924714,0.035855523396386
item_cpt_85027,0.06543181393966346,0.0060065679284553265,0.0357191909340594
item_cpt_97162,0.06525163636168894,0.0031710260767154642,0.0342113312192022
item_cpt_84443,0.05648614808008896,0.007881818066793547,0.03218398307344125
item_cpt_99213,0.0548750536260112,0.006876310194784068,0.030875681910397634
item_cpt_83036,0.0540418120490296,0.006799107884472914,0.03042045996675126
item_cpt_90662,0.054989443754995926,0.005296166251461797,0.030142805003228863
item_cpt_90670,0.052303731524176125,0.00537335432220376,0.028838542923189943
item_icd_I10,0.05084401781295025,0.006724315388605662,0.028784166600777955
item_cpt_92015,0.05324450332235632,0.003637376620552577,0.02844093997145445
item_cpt_99232,0.05439413675737187,0.002057979629803781,0.028226058193587825
item_icd_E785,0.05191013848169189,0.004057194153288424,0.027983666317490156
item_cpt_92134,0.050362451508596466,0.0044818265614255835,0.027422139035011023
item_cpt_99285,0.04837382101841141,0.0031877871549385295,0.02578080408667497
item_drug_FUROSEMIDE,0.04905934513663098,0.0024846923862043247,0.025772018761417652
item_cpt_99283,0.049031287180464914,0.0019045481635216555,0.025467917671993284
item_icd_R079,0.04315677559265267,0.002718918729380209,0.02293784716101644
