feature,shap_norm,ffa_norm,combined_importance,combined_importance_norm
pgx_num_drugs,0.9999999999420744,0.9999999998412722,0.9999999998916733,0.9999999999
item_drug_SIMVASTATIN,0.037646171053681864,0.005627338105580948,0.021636754579631406,0.021636754579811568
item_drug_AMOXICILLIN,0.03063106889679184,0.0038524961188327756,0.017241782507812307,0.017241782507955872
item_drug_LISINOPRIL,0.01901320197062311,0.0023073632515647584,0.010660282611093934,0.010660282611182698
item_drug_PREDNISONE,0.018776384498835015,0.0016403249934792924,0.010208354746157155,0.010208354746242156
item_drug_HYDROCHLOROTHIAZIDE,0.017203094577765483,0.001942656251356565,0.009572875414561024,0.009572875414640735
item_drug_AZITHROMYCIN,0.016174461312780837,0.0015639965395541206,0.00886922892616748,0.00886922892624133
