feature,shap_norm,ffa_norm,combined_importance
pgx_num_drugs,0.9999999997601425,0.9999999997891883,0.9999999997746654
item_drug_ALPRAZOLAM,0.2112315645710216,0.04787817158680113,0.12955486807891137
item_drug_CARVEDILOL,0.0919689832697482,0.009174709654560433,0.05057184646215432
item_drug_IBUPROFEN,0.07333819900211473,0.007278611379826317,0.04030840519097052
item_drug_METRONIDAZOLE,0.07150657881507205,0.008319318899249492,0.03991294885716077
item_drug_AMOXICILLIN,0.07468145894785283,0.004193754050615339,0.039437606499234085
item_drug_LEVOFLOXACIN,0.0628877427255508,0.0046776914407261625,0.03378271708313848
item_drug_PREDNISONE,0.045507349362276614,0.0019805890113902907,0.02374396918683345
item_drug_MELOXICAM,0.04391607603364014,0.002040743049599189,0.022978409541619664
item_drug_ALLOPURINOL,0.03946907331027875,0.0026350273537487446,0.021052050332013746
item_drug_CEPHALEXIN,0.030140899524463884,0.0008966932676837846,0.015518796396073835
item_drug_LISINOPRIL,0.02915354918035378,0.0014238279618461456,0.015288688571099964
item_drug_HYDROCHLOROTHIAZIDE,0.02621374290924302,0.0007731251649168096,0.013493434037079914
item_drug_LATANOPROST,0.021671968491384506,0.0007862068289099126,0.01122908766014721
item_drug_AZITHROMYCIN,0.021982512478569312,0.0004275092674628923,0.011205010873016102
item_drug_LORAZEPAM,0.019215268376260343,0.0004855660080421505,0.009850417192151247
item_drug_SHINGRIX,0.015561574979424921,0.00046574423752864907,0.008013659608476786
item_drug_OMEPRAZOLE,0.008806612500690642,0.00013458841796925875,0.004470600459329951
item_drug_SIMVASTATIN,0.008538417345627946,0.00011562327053890413,0.004327020308083425
item_drug_GABAPENTIN,0.007460932304540415,8.719287187351207e-05,0.0037740625882069635
item_drug_FUROSEMIDE,0.005178730003538728,7.871948057691167e-05,0.0026287247420578195
item_drug_ATENOLOL,0.003251352672663462,1.900601890332677e-05,0.0016351793457833944
item_drug_FINASTERIDE,0.0021196692028685508,9.110504293425033e-06,0.0010643898535809878
item_drug_SYNTHROID,0.0007978687576819376,2.42409213565396e-06,0.00040014642490879574
item_drug_NAPROXEN,0.00019343483083089614,6.019700697182238e-08,9.674751391893398e-05
item_drug_CLOPIDOGREL,0.0,0.0,0.0
