feature,shap_norm,ffa_norm,combined_importance
pgx_num_drugs,0.9999999999182643,0.9999999992906685,0.9999999996044664
item_cpt_99215,0.5858613134212874,0.20507441294031306,0.39546786318080024
item_cpt_99214,0.42264838546684486,0.10648519290338956,0.2645667891851172
item_cpt_97110,0.34499433410971486,0.06265112745324894,0.2038227307814819
item_icd_Z23,0.3228762585563008,0.06481176623640623,0.19384401239635352
item_cpt_93005,0.25796290870339483,0.04044757851952467,0.14920524361145976
item_cpt_88305,0.2617872970443403,0.03283563585698696,0.14731146645066362
item_cpt_93000,0.20279117264058522,0.034318802498153486,0.11855498756936936
item_cpt_36415,0.19336326639331813,0.022105288630433068,0.1077342775118756
item_cpt_99213,0.18193008404912742,0.02276981836565947,0.10234995120739344
item_cpt_70450,0.18259357849124175,0.017743974491110943,0.10016877649117635
item_cpt_84443,0.1674302736230705,0.023349862621629938,0.09539006812235022
item_drug_GABAPENTIN,0.17187114071453038,0.016876694630483177,0.09437391767250677
item_drug_PREDNISONE,0.15346492529479197,0.015080226731096246,0.0842725760129441
item_drug_CARVEDILOL,0.14793315584229305,0.01679422868033819,0.08236369226131562
item_cpt_85610,0.14370756927736617,0.015399500893000632,0.0795535350851834
item_icd_I10,0.13566296290471566,0.0179463330824503,0.07680464799358298
item_cpt_87086,0.12766084765199776,0.01193358153084821,0.06979721459142298
item_cpt_92134,0.12159742930690226,0.010832681915268417,0.06621505561108534
item_cpt_84439,0.11770342585939692,0.011763726433086616,0.06473357614624177
item_cpt_90662,0.11800735751421959,0.01138711600987104,0.06469723676204532
item_cpt_85027,0.11031198712150611,0.010161933946206951,0.060236960533856534
item_cpt_90670,0.10898897188959668,0.011222638080189414,0.06010580498489305
item_cpt_71020,0.10011245385795144,0.009083044423042471,0.054597749140496955
item_cpt_81003,0.0874668152454938,0.007861156154619168,0.047663985700056484
item_icd_E039,0.08801927599559116,0.007214729311106052,0.0476170026533486
item_cpt_97162,0.08811103337126905,0.004306777960659038,0.04620890566596404
item_cpt_99285,0.08558793411304824,0.00566474756273209,0.04562634083789017
item_icd_E785,0.08236417093924929,0.006471654237566589,0.04441791258840794
item_cpt_99233,0.08235166389787879,0.004761174739183067,0.04355641931853093
item_cpt_83036,0.07578659832128117,0.009598665386331784,0.04269263185380647
item_cpt_99203,0.0729803909874267,0.008417112064960337,0.04069875152619352
item_cpt_96374,0.07419547291386325,0.002973479540651913,0.03858447622725758
item_icd_Z1231,0.0699693471512765,0.005787183313387602,0.03787826523233205
item_cpt_92015,0.06871130523737709,0.004731368089688615,0.036721336663532854
item_cpt_99202,0.06826002023947232,0.003956588724665067,0.03610830448206869
item_drug_FUROSEMIDE,0.06774428353868497,0.0034571043308984518,0.03560069393479171
item_icd_L570,0.06345538813548057,0.004060033454482069,0.03375771079498132
item_cpt_82306,0.059575925442258384,0.005798200209096471,0.032687062825677425
item_cpt_80061,0.06060749847818327,0.004211755477622749,0.03240962697790301
item_cpt_90471,0.06135864770508545,0.003440711760095289,0.03239967973259037
item_icd_R079,0.06013901190276096,0.003821395771831614,0.03198020383729629
item_drug_OMEPRAZOLE,0.06049847505570243,0.002281867628829644,0.031390171342266036
item_cpt_99212,0.04926585079759353,0.006064433449484359,0.027665142123538947
item_cpt_97140,0.05188081292668656,0.0022722437287930456,0.027076528327739803
item_cpt_67028,0.05164084652468379,0.002416231728645192,0.02702853912666449
item_cpt_71046,0.052163364222127966,0.0017909376568375848,0.026977150939482775
item_cpt_99284,0.04524527656028623,0.0014224222619897032,0.023333849411137964
item_cpt_72100,0.04095358553443248,0.0012084765716805347,0.021081031053056507
item_cpt_74177,0.040348139822990195,0.001453704610554215,0.020900922216772207
item_cpt_99283,0.039633752740884876,0.0015675956695831615,0.02060067420523402
item_cpt_74000,0.03944918596800802,0.0014023526548185218,0.02042576931141327
item_cpt_99232,0.03819046126576761,0.0014736498894866979,0.019832055577627156
item_cpt_99204,0.03670535559821461,0.0029288534825013634,0.019817104540357986
item_cpt_99223,0.03745581031508754,0.0012017332359083555,0.01932877177549795
item_cpt_92014,0.03507811273885399,0.0023970358684566213,0.01873757430365531
item_cpt_85025,0.03351861830719831,0.003828866800832087,0.0186737425540152
item_cpt_80053,0.032804826100772046,0.0014530348491741097,0.01712893047497308
item_drug_METRONIDAZOLE,0.03310726324034191,0.0009325494525579672,0.01701990634644994
item_cpt_96361,0.03257286854227105,0.0006553812390446559,0.016614124890657854
item_cpt_97001,0.03202738219668676,0.0007415975548931209,0.01638448987578994
item_cpt_93010,0.030495635931558088,0.0011845057085788189,0.015840070820068452
item_icd_R109,0.02949712977820694,0.0011768039532296228,0.015336966865718282
item_cpt_92250,0.02871109094620701,0.0008850378663946629,0.014798064406300836
item_icd_E780,0.02640129711004781,0.0008966700724085525,0.013648983591228181
item_icd_N390,0.025465050703875138,0.0004778101911294938,0.012971430447502316
item_cpt_77052,0.02546791079580991,0.00045197584166051843,0.012959943318735215
