feature,shap_norm,ffa_norm,combined_importance,combined_importance_norm
pgx_num_drugs,0.9999999999205028,0.9999999991883398,0.9999999995544213,0.9999999998999954
item_cpt_71010,0.4781207656060071,0.16456635086659172,0.3213435582362994,0.3213125816381421
item_icd_Z23,0.4497141906544644,0.13821325929793202,0.2939637249761982,0.29393149863884643
item_icd_I4891,0.40891146923567967,0.11497574516097987,0.26194360719832976,0.2619099193182499
item_icd_R0602,0.36369837952146006,0.09470008201883871,0.2291992307701494,0.22916404828890702
item_cpt_97162,0.34645627623193703,0.10134690561407687,0.22390159092300696,0.22386616663356612
item_drug_GABAPENTIN,0.3220808938985437,0.08574811891942866,0.20391450640898617,0.20387816981877777
item_cpt_99308,0.29571276297706456,0.07095544456854827,0.1833341037728064,0.1832968278001128
item_cpt_99204,0.2917804737665139,0.07158810771011824,0.18168429073831607,0.1816469394607076
item_cpt_83036,0.2919541233382526,0.06539249972678084,0.17867331153251673,0.17863582282022444
item_cpt_96375,0.27759862110590855,0.06520659085289972,0.17140260597940413,0.17136478539928726
item_cpt_71020,0.23954586241289885,0.04359530546290219,0.1415705839379005,0.141531401689623
item_cpt_87086,0.19441382524734557,0.032420082633518185,0.11341695394043189,0.1133764866333836
item_cpt_99283,0.18853132969842348,0.03044776517692855,0.10948954743767601,0.10944890086606492
item_icd_R0789,0.14547381735309262,0.019724761198478165,0.08259928927578539,0.0825574153113975
item_icd_R0989,0.13923478708116813,0.023470871883299476,0.0813528294822338,0.08131089862379387
item_cpt_83735,0.14074185790793234,0.019105847723250458,0.0799238528155914,0.07988185673220538
item_icd_L570,0.12860878761267963,0.0196332026781899,0.07412099514543477,0.07407873419342807
item_icd_R05,0.13481468352000264,0.011695521001958064,0.07325510226098035,0.07321280178571339
item_cpt_81001,0.11730649732597717,0.02120569864027865,0.06925609798312791,0.06921361497525247
item_cpt_96372,0.12404963344187613,0.014198953509030205,0.06912429347545317,0.06908180445142496
item_cpt_71275,0.1197397193043333,0.012408709197968106,0.0660742142511507,0.06603158600773733
item_cpt_93005,0.11506890249712846,0.010042633807726296,0.06255576815242737,0.06251297931125026
item_cpt_99232,0.10898088945793906,0.010135091357835259,0.05955799040788716,0.05951506473460051
item_cpt_93306,0.1001702241286966,0.009351469498517444,0.05476084681360702,0.054717702177030335
item_cpt_82306,0.09632975656607162,0.009545785108032152,0.05293777083705189,0.05289454298705748
item_cpt_99231,0.09287207448280389,0.0118091562798978,0.05234061538135085,0.05229736027448562
item_cpt_93880,0.09055843258262466,0.00950798154861858,0.05003320706562162,0.04998984663822423
item_cpt_99215,0.08616439885694645,0.012450129925843552,0.049307264391395,0.04926387082869674
item_cpt_97116,0.09162235928250229,0.006546183875389751,0.049084271578946015,0.0490408678378491
item_cpt_97110,0.08908955328947417,0.0073699365129972095,0.04822974490123569,0.0481863021556835
item_cpt_99233,0.08785954984845705,0.008256556332661582,0.04805805309055931,0.04801460250821779
item_cpt_97112,0.08480654466952116,0.006082619516922976,0.045444582093222066,0.045401012220265886
item_cpt_99238,0.0785005392154823,0.0065389466988551226,0.04251974295716871,0.04247603958135037
item_cpt_85027,0.07432177547636075,0.0053695183572402055,0.039845646916800474,0.03980182148316682
item_cpt_71046,0.07237974503814715,0.0056480212628455305,0.03901388315049634,0.03897001975140944
item_icd_D649,0.06386588469977447,0.003926293832670929,0.0338960892662227,0.03385199226791899
item_cpt_97001,0.0599172221507097,0.0054259764023110715,0.03267159927651039,0.032627446386955666
item_cpt_99212,0.05943346559669589,0.003671210302323806,0.031552337949509845,0.03150813397181533
item_cpt_81003,0.0575772821101389,0.0032312446653328464,0.030404263387735872,0.030360007006735447
item_cpt_80061,0.05491414417023325,0.0037303358463084075,0.029322240008270828,0.029277934238838642
item_cpt_70450,0.054487067539441755,0.0037035234290188675,0.029095295484230312,0.029050979356025523
item_drug_CEPHALEXIN,0.054177391321137074,0.0036840815598291545,0.028930736440483114,0.028886412801060676
item_cpt_82043,0.05388674625504367,0.0020966587549303447,0.027991702504987007,0.027947336003816547
item_cpt_83540,0.04720692813515058,0.0018520276970297712,0.024529477916090177,0.024484953383359497
item_icd_E785,0.04480946387397551,0.0022969164981235636,0.02355319018604954,0.02350862109113947
item_icd_E119,0.04382617618935264,0.0019894169285070104,0.022907796558929824,0.02286319800534103
item_icd_J189,0.04081452004393332,0.00161792228789751,0.021216221165915417,0.02117154540118918
item_cpt_71045,0.04002107434869571,0.001106278201347993,0.020563676275021852,0.020518970725200925
item_cpt_84520,0.03659423496570704,0.0016867299133883574,0.019140482439547697,0.019095711928735205
item_cpt_97535,0.035050971350151686,0.0014068472273322632,0.018228909288741973,0.01818409716961564
item_cpt_99284,0.034183378252692916,0.0015858254674347505,0.017884601860063833,0.0178397740251921
item_cpt_92015,0.03375560809190912,0.0017764350917693664,0.017766021591839244,0.017721188344428748
item_icd_R079,0.03323467229961199,0.0015461181517524188,0.017390395225682205,0.017345544832988617
item_icd_I509,0.031259722878782106,0.0006816354878122958,0.015970679183297202,0.015925763988354227
item_cpt_84443,0.027828793391894698,0.0011423536434406578,0.014485573517667678,0.014440590535797711
item_cpt_92014,0.026969942649214755,0.000591862857404481,0.013780902753309617,0.013735887607084775
item_cpt_80076,0.0218981901227608,0.0009251606412245969,0.011411675381992697,0.01136655209353491
item_cpt_90670,0.021575890366304185,0.0004789810228861199,0.011027435694595153,0.010982294867703406
item_icd_N390,0.02128789449862862,0.00047295410653977265,0.010880424302584195,0.010835276765428845
item_cpt_93010,0.020000760986040127,0.00017291543422968256,0.010086838210134905,0.010041654450127703
item_cpt_99496,0.01738352525481795,0.0002683884370004157,0.008825956845909182,0.008780715533584352
item_cpt_83880,0.016933792593004433,0.0006228467532298366,0.008778319673117135,0.008733076186416682
item_icd_I482,0.01701329008373768,0.00026257747756915914,0.008637933780653419,0.008592683886107072
item_cpt_84100,0.01661284974305451,0.0003751190095132579,0.008493984376283884,0.008448727911236872
item_icd_M545,0.014963409270260556,0.00034060101511270167,0.007652005142686629,0.007606710245906336
item_cpt_97530,0.013470650576412162,0.0006165238074487726,0.007043587191930467,0.006998264524208239
item_cpt_97140,0.012752254733913643,0.0001956991648450305,0.006473976949379337,0.006428628282074171
item_cpt_99307,0.011774180370242273,0.0002738597248820508,0.006024020047562162,0.005978650842192697
item_cpt_82607,0.011467113504688148,0.00017552846219494268,0.005821320983441546,0.005775942525971723
item_icd_N183,0.011039493034384059,7.914878969804062e-05,0.00555932091204105,0.005513930495705186
item_icd_E559,0.010858090788088434,0.0002546886328731159,0.005556389710480775,0.005510999160351639
item_cpt_84484,0.00954511359109712,0.0010457096166923586,0.00529541160389474,0.005250009141546651
item_cpt_84550,0.010242618457942236,0.00024180858609598214,0.005242213522019109,0.005196808631470404
item_cpt_99309,0.01016184375203682,6.996546556073528e-05,0.005115904608798778,0.005070493952941061
item_cpt_88305,0.009730646863868668,0.0004795558468950458,0.005105101355381857,0.005059690206414883
item_cpt_82565,0.009570975582968684,6.378288895740592e-05,0.004817379235963045,0.004771954954059639
item_icd_I10,0.008956424010809169,5.735249996291166e-05,0.00450688825538604,0.004461449801272589
item_cpt_99239,0.008127075215550481,0.00019753641562394398,0.004162305815587212,0.004116851633175614
item_cpt_99223,0.007267287561234962,3.96781420609817e-05,0.0036534828516479718,0.0036080054442592514
item_icd_R918,0.0069512866509352025,3.637165182013615e-05,0.0034938291513776695,0.0034483444566733227
item_cpt_87077,0.005430883679287805,2.04628445222841e-05,0.0027256732619050446,0.0026801535050981133
item_cpt_73502,0.005329296612153579,7.919346286213543e-05,0.0027042450375078576,0.0026587243026200283
item_cpt_80048,0.005137559261298661,0.00013497453681031034,0.0026362668990544858,0.002590743061337535
item_cpt_93000,0.004313535785623771,0.00044460621473758856,0.00237907100018068,0.0023335354228818106
item_cpt_85610,0.0034752518687095188,0.0,0.0017376259343547594,0.0016920610786073243
item_cpt_99222,0.0028712050144226336,8.754633040112037e-05,0.001479375672411877,0.0014337990289566335
item_cpt_99203,0.00021050412167939437,3.1865595005015595e-05,0.00012118485834220498,7.55462209267444e-05
item_cpt_96361,0.0,9.128417105728928e-05,4.564208552864464e-05,0.0
